full_text,date,employee_title,location,employee_status,review_title,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
"Nov 7, 2019
""Masochists only, please!""
Current Employee - Supervisor in Claycomo, MO
Doesn't Recommend
Neutral Outlook
I have been working at Ford Motor Company full-time for more than 3 years
Pros
The money is awesome. Great benefits.
Cons
Abusive working environment and world-class micromanagement. You will be yelled at daily, sometimes more. Management will lie to your face and smile while they're doing it. The abuse you'll take daily will be so bad that your own employees will come to you to comfort you and express their regret over the abuse that you receive.

You will ask yourself each day whether the money is worth it. You will hate returning...
Show More
Advice to Management
Management doesn't accept advice. Don't waste your time.
Helpful",Thu Nov 07 2019 01:15:52 GMT-0700 (Mountain Standard Time), Supervisor,"Claycomo, MO",Current Employee ,"Masochists only, please!",1.0,1.0,1.0,5.0,5.0,1.0
"Nov 6, 2019
""Desestruturada""
 Neutral Outlook
I worked at Ford Motor Company
Pros
Reconhecida no mercado, empresa multinacional, remuneração
Cons
Estrutura péssima, liderança completamente despreparada, processos arcaicos, estrutura inflada, ambiente sujo e hostil
Helpful",Wed Nov 06 2019 18:30:48 GMT-0700 (Mountain Standard Time),,, ,Desestruturada,1.0,1.0,1.0,1.0,4.0,1.0
"Nov 6, 2019
""Empresa responsável para com o trabalhador,""
Former Employee - Auditor De Qualidade in Camaçari, Bahia
Recommends
Positive Outlook
I worked at Ford Motor Company full-time for more than 10 years
Pros
Ótima empresa para trabalhar, moderna, automatizada, cumpre com a legislação.
Cons
Falta treinamento da Liderança. Falta um plano de cargos e salários.
Advice to Management
Treine a liderança de vocês , uma empresa não é composta apenas de robôs.
Helpful",Wed Nov 06 2019 16:16:09 GMT-0700 (Mountain Standard Time), Auditor De Qualidade,"Camaçari, Bahia",Former Employee ,"Empresa responsável para com o trabalhador,",5.0,5.0,3.0,2.0,5.0,1.0
"Nov 6, 2019
""Motor Tech""
Former Employee - Motor Technician in Galway
I worked at Ford Motor Company full-time for more than a year
Pros
Good workshop and plenty of training
Cons
Pay and unorangibsed at times
Helpful",Wed Nov 06 2019 12:24:08 GMT-0700 (Mountain Standard Time), Motor Technician,Galway,Former Employee ,Motor Tech,4.0,5.0,5.0,5.0,5.0,5.0
"Nov 6, 2019
""Good Benefits""
Former Employee - Product Development FCG in Dearborn, MI
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I worked at Ford Motor Company full-time for more than a year
Pros
Good benefits, good insurance options, decent paid time off
Cons
Limited in locations (mostly all are in Michigan), takes a long time to move up in company
Helpful",Wed Nov 06 2019 11:09:04 GMT-0700 (Mountain Standard Time), Product Development FCG,"Dearborn, MI",Former Employee ,Good Benefits,4.0,2.0,1.0,3.0,4.0,2.0
"Nov 6, 2019
""Ford tech""
Current Employee - Ford Technician 
Recommends
Positive Outlook
I have been working at Ford Motor Company full-time for more than 3 years
Pros
Good work
Good hours 
Good oay
Cons
Communication needs to be improved
Helpful",Wed Nov 06 2019 05:31:17 GMT-0700 (Mountain Standard Time), Ford Technician,,Current Employee ,Ford tech,5.0,3.0,4.0,5.0,4.0,4.0
"Nov 6, 2019
""Business Analyst""
Former Employee - Business Analyst in Chennai
Recommends
Approves of CEO
I worked at Ford Motor Company full-time for more than 3 years
Pros
Good work life balance, Helping co-workers
Cons
Slow growth, Learning curve is not that good
Helpful",Wed Nov 06 2019 04:14:10 GMT-0700 (Mountain Standard Time), Business Analyst,Chennai,Former Employee ,Business Analyst,3.0,5.0,4.0,3.0,3.0,3.0
"Nov 5, 2019
""licencier eco""
Former Employee - Team Leader in Blanquefort, Aquitaine
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I worked at Ford Motor Company full-time for more than 10 years
Pros
départ en pré-retraite pour certain , est les autres PSE surtout pour les gens de plus 50 ans chomages donc rien……..
Cons
avoir donner 30 année de sa vie pour rien ,retour a la case départ…..
Helpful",Tue Nov 05 2019 07:27:48 GMT-0700 (Mountain Standard Time), Team Leader,"Blanquefort, Aquitaine",Former Employee ,licencier eco,1.0,3.0,4.0,4.0,3.0,1.0
"Nov 4, 2019
""Trending Down""
Former Employee - Finance Supervisor in Dearborn, MI
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I worked at Ford Motor Company full-time for more than 10 years
Pros
Generally the people you work with are good
Cons
Senior management is working hard to grow the company but seem not to identify the right course, they seem followers but talk a different tune.
Helpful",Mon Nov 04 2019 11:46:19 GMT-0700 (Mountain Standard Time), Finance Supervisor,"Dearborn, MI",Former Employee ,Trending Down,2.0,4.0,3.0,1.0,3.0,2.0
"Nov 4, 2019
""Buena Empresa lento desarrollo profesional""
Current Employee - Ingeniero De Diseño in Ciudad de México
Recommends
Negative Outlook
No opinion of CEO
I have been working at Ford Motor Company full-time for more than 3 years
Pros
Buenas presataciones y horario preferente en la mañana.
Cons
Él crecimiento profesional no es nada prometedor y los reconocimientos de trabajo parecen de oficinas de gobierno, se los queda el jefe.
Helpful",Mon Nov 04 2019 06:47:15 GMT-0700 (Mountain Standard Time), Ingeniero De Diseño,Ciudad de México,Current Employee ,Buena Empresa lento desarrollo profesional,3.0,3.0,4.0,4.0,5.0,3.0
