full_text,date,employee_title,location,employee_status,review_title,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
"Nov 6, 2019
""Wells Fargo""
Current Employee - Phone Banker 
I have been working at Wells Fargo full-time for less than a year
Pros
Health benefits 
Flexible schedule 
Pay
Cons
Feel like they should offer longer training period
Helpful",Wed Nov 06 2019 18:04:44 GMT-0700 (Mountain Standard Time), Phone Banker,,Current Employee ,Wells Fargo,4.0,3.0,5.0,5.0,4.0,4.0
"Nov 6, 2019
""Depends where you are!""
Former Employee - Teller 
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Wells Fargo full-time for less than a year
Pros
Get to learn new things!
Enjoyable team depends were you are!
Good banking options
Cons
Co-workers body shame plus size women!
Managers have favorites!
Lies to you and is never honest!
Advice to Management
Stop picking favorites and do your job! There are employees that would make your business run so much better but you have these rude ones that ruin your image
Helpful",Wed Nov 06 2019 11:12:30 GMT-0700 (Mountain Standard Time), Teller,,Former Employee ,Depends where you are!,3.0,2.0,2.0,3.0,3.0,2.0
"Nov 6, 2019
""Needs improvement as a company""
Current Employee - Personal Banker in Columbia, SC
I have been working at Wells Fargo full-time for more than 5 years
Pros
Room for growth and advancement
Cons
Terrible management And favoritism is a real thing
Advice to Management
Stop treating adults like school children and stop favoritism
Helpful",Wed Nov 06 2019 06:28:32 GMT-0700 (Mountain Standard Time), Personal Banker,"Columbia, SC",Current Employee ,Needs improvement as a company,3.0,3.0,2.0,4.0,3.0,
"Nov 5, 2019
""wouldn't recommend.""
Current Employee - Customer Service Representative 
Doesn't Recommend
I have been working at Wells Fargo full-time
Pros
The Vacation days are Great! 180 hours your first year. Vacation and sick days are combined.
Cons
Working conditions are subpar, Branches are always understaffed and the recruitment process takes months. There is no clear differentiation between CSSR and Personal Bankers as far as work and experience. However, Personal Bankers make more money.
Advice to Management
Put your staff first!
Helpful",Tue Nov 05 2019 17:08:52 GMT-0700 (Mountain Standard Time), Customer Service Representative,,Current Employee ,wouldn't recommend.,3.0,5.0,4.0,2.0,,
"Nov 5, 2019
""Good company""
Current Employee - Client Associate 
I have been working at Wells Fargo full-time for more than 10 years
Pros
Gear benefits and 401k. The people are great as well and helpful. FAS are great too if you are matched with the right person.
Cons
Not much growth, base isn’t high
Helpful",Tue Nov 05 2019 16:56:05 GMT-0700 (Mountain Standard Time), Client Associate,,Current Employee ,Good company,4.0,5.0,5.0,3.0,3.0,4.0
"Nov 5, 2019
""WF Fin Analyst""
Current Employee - Financial 
I have been working at Wells Fargo full-time
Pros
Culture, people, type of work, location
Cons
I dont have any cons to list
Helpful",Tue Nov 05 2019 14:00:39 GMT-0700 (Mountain Standard Time), Financial,,Current Employee ,WF Fin Analyst,5.0,,,,,
"Nov 5, 2019
""Wells Fargo""
Current Employee - Business Systems Analyst/Consultant in Minneapolis, MN
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time for more than 5 years
Pros
There is a strong sense of community
Cons
I dont find many cons
Helpful",Tue Nov 05 2019 13:39:32 GMT-0700 (Mountain Standard Time), Business Systems Analyst/Consultant,"Minneapolis, MN",Current Employee ,Wells Fargo,5.0,5.0,5.0,5.0,5.0,5.0
"Nov 5, 2019
""Deposit checks, cash, money orders""
Former Employee - Teller in Neshaminy, PA
Recommends
Neutral Outlook
Approves of CEO
I worked at Wells Fargo part-time for less than a year
Pros
Benefits, growth, experience and you meet very interesting people.
Cons
very tedious, not great for part time work, lots of ""confirmation"" to be made with customers. CONSENT is huge.
Helpful",Tue Nov 05 2019 10:27:46 GMT-0700 (Mountain Standard Time), Teller,"Neshaminy, PA",Former Employee ,"Deposit checks, cash, money orders",4.0,3.0,4.0,4.0,5.0,3.0
"Nov 5, 2019
""great company""
Current Employee - Financial Crimes Supervisor in Portland, OR
Recommends
Positive Outlook
I have been working at Wells Fargo full-time for more than 5 years
Pros
great company and competitive salary
Cons
it can be boring because you are doing the same thing over and over
Advice to Management
positive reinforcement
Helpful",Tue Nov 05 2019 08:28:09 GMT-0700 (Mountain Standard Time), Financial Crimes Supervisor,"Portland, OR",Current Employee ,great company,5.0,5.0,5.0,5.0,5.0,5.0
"Nov 5, 2019
""Great company""
Current Employee - Service Manager in Tucson, AZ
Recommends
I have been working at Wells Fargo full-time for more than 5 years
Pros
Benefits, culture, people, values, community
Cons
Nothing that would stop me from working here
Helpful",Tue Nov 05 2019 06:57:41 GMT-0700 (Mountain Standard Time), Service Manager,"Tucson, AZ",Current Employee ,Great company,5.0,5.0,5.0,5.0,5.0,5.0
