full_text,date,employee_title,location,employee_status,review_title,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
"Oct 30, 2019
""Great employer""
Current Employee - Financial Crimes Specialist II in Charlotte, NC
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time for more than 3 years
Pros
Good benefits, nice management, a lot of opportunities to grow
Cons
Job on the phones and it could be stressful
Helpful",Wed Oct 30 2019 18:15:02 GMT-0600 (Mountain Daylight Time), Financial Crimes Specialist II,"Charlotte, NC",Current Employee ,Great employer,5.0,3.0,5.0,5.0,5.0,5.0
"Aug 24, 2018
Helpful (220)
""Coming to work here was the best decision ever.""
Current Employee - Branch Manager in Austin, TX
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time for less than a year
Pros
The culture here is phenomenal. The message is all about how the people make the difference and the company is very focused on developing employees. 

The routines set in place to reinforce the behaviors are phenomenal. Resources available to leaders for improving coaching style are endless! They have even taken external leadership theories and incorporated those into the resources and training available. 

Highly...
Show More
Cons
Some systems are a bit antiquated, but to be honest I’d prefer that over flashy stuff that glitches out all the time. 

Time off is not very competitive, and it doesn’t increase with positions that have more responsibility, it only increases with years worked at the company. 

No fully comprehensive health plan, but they do offer a company funded HSA with one of the plans.
Helpful (220)",Fri Aug 24 2018 20:34:04 GMT-0600 (Mountain Daylight Time), Branch Manager,"Austin, TX",Current Employee ,Coming to work here was the best decision ever.,5.0,5.0,5.0,5.0,4.0,5.0
"Oct 31, 2019
""Benefits""
Former Employee - Operational Risk Consultant 
I worked at Wells Fargo full-time for more than 8 years
Pros
The health insurance benefits have improved and focused on the employees individual needs.
Cons
Leadership changes and instability with consistent management of personal.
Helpful",Thu Oct 31 2019 19:13:24 GMT-0600 (Mountain Daylight Time), Operational Risk Consultant,,Former Employee ,Benefits,4.0,,,,,
"Oct 31, 2019
""Lots of opportunity and benefits""
Current Employee - Anonymous Employee 
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time for more than 3 years
Pros
Good benefits package. Plenty of opportunity for development.
Cons
Busy branches have a huge workload on top of having to work Saturday's. Work-life balance is currently not ideal
Advice to Management
It's not reasonable for Saturday branches to self staff and work six days a week half of the month. Team members are burning out.
Helpful",Thu Oct 31 2019 19:54:58 GMT-0600 (Mountain Daylight Time),,,Current Employee ,Lots of opportunity and benefits,4.0,1.0,5.0,5.0,5.0,4.0
"Oct 30, 2019
""Benefits""
Current Employee - Manager 
I have been working at Wells Fargo full-time
Pros
Great benefits and PTO great organization to work.
Cons
None at this moment
Helpful",Wed Oct 30 2019 13:03:49 GMT-0600 (Mountain Daylight Time), Manager,,Current Employee ,Benefits,5.0,5.0,5.0,5.0,5.0,5.0
"Oct 30, 2019
""Review""
Former Employee - Manager 
I worked at Wells Fargo full-time
Pros
It was very good place to work.
Cons
Manager is not nice person.
Helpful",Wed Oct 30 2019 17:18:32 GMT-0600 (Mountain Daylight Time), Manager,,Former Employee ,Review,4.0,,,,,
"Oct 30, 2019
""Field representative""
Current Employee - Anonymous Employee 
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time
Pros
Great place to build a career
Cons
managemt can be a bit over
Helpful",Wed Oct 30 2019 01:52:30 GMT-0600 (Mountain Daylight Time),,,Current Employee ,Field representative,5.0,5.0,5.0,5.0,5.0,5.0
"Oct 29, 2019
""Personal Banker""
Former Employee - Anonymous Employee 
Recommends
No opinion of CEO
I worked at Wells Fargo full-time for more than 3 years
Pros
No ""official"" sales goals. Decent pay and benefits. Good database with product information along with a ""back office"" that can give you extra information regarding certain situations. Bonuses are mainly determined by customer service reviews. Overall great job if your coworkers and management are as dedicated to the job as you are.
Cons
Can be overwhelming at times due to specific customer situations. Quarterly/weekly meetings can become redundant. If management is bad and unwilling to improve behavior, it can create a toxic work environment.
Advice to Management
If you've been in the company for over 5+ years, learn to adapt to the new way of things. Be humble and listen to both bankers and tellers when they have ideas to improve branch/sales efficiency.
Helpful",Tue Oct 29 2019 14:07:34 GMT-0600 (Mountain Daylight Time),,,Former Employee ,Personal Banker,4.0,3.0,4.0,4.0,2.0,
"Oct 29, 2019
""Good Company, Some Bad Management""
Former Employee - Lead Teller 
Recommends
I worked at Wells Fargo full-time for more than 3 years
Pros
Professional work environment, solid compensation and incentive program, great medical and 401K benefits, and awesome paid time off
Cons
People in positions of power sometimes abuse that power. You can have a really great and fulfilling experience or absolutely miserable depending on your branch and management team. ""Sales"" went away but sales pressure did not.
Advice to Management
Don't put so much pressure on employees to have awkward, forced conversations for the purpose of selling more products or getting more referrals. Customers are not dumb and know what is going on, it makes them feel uncomfortable too! Having someone looking over your shoulder with every interaction and telling them all the things they could improve on does not bolster morale or make them want to be better/improve.
Helpful",Tue Oct 29 2019 20:30:45 GMT-0600 (Mountain Daylight Time), Lead Teller,,Former Employee ,"Good Company, Some Bad Management",4.0,4.0,3.0,4.0,5.0,4.0
"Oct 29, 2019
""good place""
Current Employee - Registered Client Associate 
I have been working at Wells Fargo full-time
Pros
workers are good and helpful
Cons
need to pay people more
Helpful",Tue Oct 29 2019 21:10:54 GMT-0600 (Mountain Daylight Time), Registered Client Associate,,Current Employee ,good place,4.0,,,,,
